,Item_Identifier,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
99,1484,1,0.058687359,8,81.1618,1,2,1,800.0522344564752
100,940,2,0.009908113,10,151.1366,3,2,2,2978.3415554900603
101,575,2,0.094395215,0,97.2068,2,1,1,1172.9397036665937
102,1221,2,0.02777326,3,169.279,2,1,1,2395.6241500586916
103,398,4,0.006326106,0,122.1098,8,0,1,2179.3732283195372
104,3,3,0.143990546,14,191.553,4,0,0,1904.69955525651
105,1278,1,0.09233359,9,250.6066,5,2,3,5319.104935873838
106,1115,1,0.083661793,3,248.6092,4,0,0,2825.6034910863177
107,625,2,0.042022999,13,53.064,9,0,1,1010.214973017964
108,504,2,0.072044336,4,48.8692,5,2,3,2262.5283708110755
109,969,1,0.0,4,249.775,3,2,2,4503.166054850857
110,211,1,0.024404214,6,159.0262,0,2,0,1173.7078766517643
111,744,1,0.119450639,10,190.653,8,0,1,2935.4951783529827
112,710,1,0.121917641,3,76.6986,0,2,0,-274.15333593817616
113,332,2,0.131905128,5,232.0668,5,2,3,5014.891585302164
114,702,2,0.179043614,10,95.3752,6,1,1,1205.2695070954783
115,114,1,0.0152302,7,107.0938,5,2,3,3230.679486267526
116,883,2,0.082401592,5,55.9588,8,0,1,940.0750429489403
117,1123,1,0.013917468,0,92.5462,1,2,1,1066.8860017426036
118,1204,2,0.038140213,4,96.3726,6,1,1,1459.2718221059458
119,603,1,0.054166556,13,116.9466,7,1,1,1768.0493543882262
120,908,1,0.03229139,0,178.766,5,2,3,4317.23924469839
121,1409,1,0.108641498,9,33.0558,2,1,1,94.3034677666883
122,695,1,0.015105338,5,84.625,6,1,1,1285.1483489169368
123,275,2,0.114650377,0,87.3514,9,0,1,1442.3976139587994
124,180,1,0.115342009,0,220.2114,3,2,2,3863.3413092536985
125,1230,2,0.0,0,186.424,5,2,3,4521.670620638862
126,554,1,0.00896468,10,120.6756,7,1,1,1906.4482312713958
127,1074,1,0.082346376,0,38.8164,3,2,2,1084.0620350605172
128,620,1,0.013318,3,110.1254,3,2,2,2311.9495753862057
129,620,1,0.01325293,3,108.2254,1,2,1,1314.3118372816734
130,1105,2,0.017131453,0,177.837,3,2,2,3392.492397914005
131,327,1,0.022925594,6,116.4492,1,2,1,1425.7950047325176
132,1386,1,0.028316137,9,109.3912,6,1,1,1635.3136431755966
133,1201,1,0.052562923,0,93.9462,0,2,0,108.92369348982811
134,85,1,0.1837926,14,81.3276,9,0,1,1182.3188087458761
135,931,1,0.111296158,5,151.2708,4,0,0,1263.3436228950804
136,783,1,0.029860799,13,39.5822,3,2,2,1171.3609823942716
137,859,0,0.130617879,0,76.5328,9,0,1,1170.7330029013679
138,267,0,0.238990225,3,94.7094,4,0,0,143.69860844597406
139,1026,1,0.103186396,0,151.805,1,2,1,1840.5578524999205
140,45,1,0.0,14,188.3898,0,2,0,1663.8299656719987
141,801,2,0.168186376,1,36.5874,8,0,1,500.2459101809186
142,131,3,0.050255855,14,97.3752,9,0,1,1725.5898888259667
143,1525,1,0.061173235,9,128.5968,6,1,1,1877.4385417311678
144,349,2,0.029881147,4,89.5514,6,1,1,1377.09285603722
145,1269,1,0.050154219,8,126.9336,7,1,1,1928.6637720549766
146,1306,1,0.051837621,9,152.6024,6,1,1,2269.475581064598
147,507,1,0.11013617,6,189.7846,5,2,3,4355.135474691047
148,1272,1,0.024086626,9,106.0964,2,1,1,1375.2616729795222
149,1284,1,0.013115567,9,53.7614,5,2,3,2387.518189777483
150,603,1,0.0,13,118.9466,9,0,1,2072.129204927458
151,623,1,0.038764258,6,246.2144,7,1,1,3815.074920378288
152,1329,1,0.07986963,9,180.466,0,2,0,1397.2366321785385
153,121,1,0.066057085,7,259.3278,6,1,1,3923.7439864928056
154,1321,1,0.093044518,9,158.4604,3,2,2,2914.6013097413415
155,878,1,0.140771867,1,129.4994,1,2,1,1430.588558122919
156,717,2,0.033186809,2,49.1008,3,2,2,1363.282770709202
157,888,1,0.11139344,1,65.2826,9,0,1,1061.0302545486406
158,108,1,0.049966527,4,82.525,7,1,1,1256.3604354850404
159,83,1,0.097212998,4,58.293,9,0,1,981.8270715624762
160,1010,2,0.150863781,5,158.0288,2,1,1,2013.5134649865436
161,1394,1,0.091900406,11,182.5608,6,1,1,2664.9917880300977
162,430,1,0.017414576,6,231.101,1,2,1,3218.8640168819393
163,875,1,0.053866912,6,183.0292,8,0,1,2930.5295808979686
164,1040,1,0.014714625,5,75.4038,9,0,1,1374.328005849647
165,1240,1,0.127140836,0,110.5544,0,2,0,241.65153859743805
166,879,2,0.061923154,0,87.5514,5,2,3,2882.36612599531
167,564,1,0.122417514,6,174.3738,9,0,1,2738.512790908725
168,898,1,0.0,0,150.4708,7,1,1,2393.876584332278
169,553,2,0.053858378,3,186.924,0,2,0,1592.9725208225577
170,290,2,0.048784266,15,188.5898,7,1,1,2928.4486402729704
171,1327,0,0.073080167,9,161.492,2,1,1,2119.968077163248
172,1426,1,0.184602443,9,106.5306,0,2,0,68.89711494210155
173,646,2,0.080582001,0,39.4138,0,2,0,-745.8941864421612
174,1026,1,0.103856487,0,151.305,2,1,1,1959.2163106844287
175,430,1,0.017500079,6,228.801,3,2,2,4151.077210075562
176,869,1,0.173275373,0,127.6362,5,2,3,3284.6269677617893
177,843,1,0.083393481,10,180.6292,5,2,3,4248.552438657786
178,732,2,0.0450476,0,36.4874,5,2,3,2117.4606154904027
179,48,1,0.051816577,14,236.4564,5,2,3,5175.224210398081
180,239,2,0.026297031,6,102.7332,6,1,1,1587.1412953432246
181,385,3,0.117808305,3,198.5768,3,2,2,3585.6291392712155
182,406,2,0.049270974,5,243.9144,6,1,1,3745.8548757745893
183,1294,1,0.093540749,9,55.4956,2,1,1,470.4222435640345
184,1388,1,0.087105823,8,108.228,0,2,0,260.9461945224605
185,1396,1,0.0,9,110.9544,9,0,1,1943.3175331859602
186,373,1,0.068068082,6,199.1426,6,1,1,2981.6017405614302
187,361,2,0.01761655,15,239.4538,1,2,1,3372.8231384206265
188,87,1,0.040898157,7,225.2088,9,0,1,3671.421888509749
189,1318,1,0.079791176,9,169.5106,6,1,1,2485.5816320779572
190,637,1,0.031049674,6,101.399,8,0,1,1700.8042664323448
191,954,1,0.019112323,13,236.2248,3,2,2,4248.951823596183
192,1026,1,0.103272336,0,151.205,8,0,1,2357.732587559472
193,496,2,0.054001526,3,227.8352,4,0,0,2594.1056208416653
194,866,2,0.081073148,13,51.2008,6,1,1,676.518344268758
195,1276,1,0.019774239,9,154.5972,5,2,3,3946.3400783221978
196,770,2,0.153038134,6,219.0456,4,0,0,2283.740706805935
197,248,2,0.13720009,13,191.882,2,1,1,2562.5421049964793
198,1246,1,0.02573698,6,169.3474,8,0,1,2760.4120286455195
199,1234,1,0.070354806,5,53.9298,4,0,0,-186.92647520971855
200,896,2,0.047028483,13,118.3782,5,2,3,3370.8366111963423
201,20,1,0.030857538,14,140.6154,7,1,1,2181.395496979693
202,1043,1,0.045302246,13,189.1556,2,1,1,2630.4438445461315
203,591,1,0.073341257,3,155.7972,7,1,1,2353.3727073147197
204,186,1,0.00880049,6,123.0414,3,2,2,2522.0147793029946
205,664,1,0.039562497,10,118.1808,8,0,1,1942.4293743587236
206,623,1,0.038745948,6,245.0144,9,0,1,3978.296686835555
207,695,1,0.015193653,5,82.825,2,1,1,1039.7583159584228
208,577,2,0.027075481,10,195.611,6,1,1,3022.8289203779095
209,353,1,0.052068722,13,117.0124,8,0,1,1903.1339420100817
210,465,2,0.114010306,3,112.2202,5,2,3,3180.007839445979
211,1280,0,0.111641021,9,38.8848,4,0,0,-530.8716953911741
212,814,2,0.008771522,10,205.798,3,2,2,3832.7745196552796
213,198,2,0.103304968,3,92.612,2,1,1,1087.1272921856398
214,847,0,0.028919203,13,240.9222,1,2,1,3303.9704949153374
215,1393,1,0.034136703,11,130.0284,2,1,1,1727.0201097291374
216,641,2,0.045393469,10,102.2674,4,0,0,643.097275939771
217,951,2,0.047199898,5,244.9144,5,2,3,5349.9903729558355
218,591,1,0.07319282,3,154.2972,8,0,1,2457.838226137867
219,1540,1,0.011287929,9,238.9248,8,0,1,3860.7114465827635
220,84,1,0.036628533,7,145.6128,4,0,0,1308.3194772167753
221,1089,2,0.105057952,5,141.1812,1,2,1,1699.7167875547325
222,669,2,0.0,13,169.2132,8,0,1,2834.3781815653006
223,860,1,0.017741644,3,178.3686,6,1,1,2740.7729666541572
224,1319,1,0.039225553,9,116.2176,7,1,1,1778.3515238731943
225,241,1,0.141766029,15,87.4172,6,1,1,1108.5032733767353
226,1132,2,0.080236064,1,226.4036,3,2,2,4040.9603418617316
227,1261,1,0.082332074,8,160.392,8,0,1,2523.145989643877
228,818,1,0.136085739,13,259.8962,4,0,0,2904.164506013343
229,270,1,0.008885672,5,96.9384,2,1,1,1275.1345139510595
230,1189,1,0.0,13,255.2356,1,2,1,3606.1138256004333
231,159,1,0.141355941,15,168.5158,0,2,0,1114.1481022813146
232,316,1,0.121227447,3,95.2778,6,1,1,1279.5872559186937
233,1072,2,0.005975976,13,100.8358,7,1,1,1627.4100839774455
234,1034,2,0.011425458,13,73.6038,8,0,1,1322.290626888197
235,907,2,0.043961689,1,109.157,9,0,1,1891.9898555761479
236,1506,1,0.01949589,8,127.8994,2,1,1,1720.9139311968383
237,1361,1,0.029523375,9,117.215,8,0,1,1937.2636905306836
238,401,2,0.062751586,5,244.2486,4,0,0,2833.552439390424
239,411,2,0.0,15,173.0738,2,1,1,2495.9415189665187
240,280,1,0.059175953,6,37.8506,0,2,0,-772.1644293074639
241,1410,1,0.009831566,11,211.156,2,1,1,3030.7648839140747
242,509,4,0.216762584,13,142.2838,0,2,0,681.5137179112437
243,1085,1,0.057254675,0,104.0622,2,1,1,1301.338861174947
244,1072,2,0.0,13,101.0358,0,2,0,327.61839604775855
245,1168,1,0.041598912,6,118.0466,2,1,1,1536.8706897561083
246,27,1,0.024206741,4,47.0718,1,2,1,349.5641252974917
247,1280,1,0.063862271,9,38.1848,9,0,1,704.3671945799119
248,459,2,0.073484791,5,63.6194,0,2,0,-361.1610098197822
249,689,2,0.125983278,13,264.691,2,1,1,3709.7428329379172
250,991,2,0.058161092,6,239.4564,7,1,1,3707.615891868122
251,1111,1,0.1092139,13,175.037,0,2,0,1260.9410364106557
252,451,2,0.138195491,5,83.1276,4,0,0,197.61143936328153
253,1103,1,0.007595816,13,104.4622,2,1,1,1374.5272539493672
254,265,1,0.11956313,13,227.2694,2,1,1,3108.212270001416
255,1458,0,0.018020588,8,94.4094,6,1,1,1385.0412765173646
256,61,1,0.067442541,14,244.7486,6,1,1,3686.3559812327876
257,269,2,0.008239804,4,152.2708,5,2,3,3982.454925343868
258,1164,1,0.030127406,3,74.567,8,0,1,1282.122771231449
259,1181,2,0.016014343,1,44.0402,1,2,1,340.9538992395303
260,487,1,0.041524729,15,181.7634,2,1,1,2525.7858877864905
261,1487,1,0.055926872,9,141.4496,9,0,1,2322.994106231726
262,1179,2,0.097597084,13,158.5262,3,2,2,2939.365279131166
263,243,1,0.177107232,4,157.5288,5,2,3,3745.986028520734
264,958,2,0.0,3,186.4924,9,0,1,3166.8281310592884
265,1491,1,0.019506654,9,169.5474,8,0,1,2767.331320355465
266,1498,1,0.022936556,8,177.6686,3,2,2,3330.681709075542
267,1528,1,0.02610006,9,182.8976,2,1,1,2564.5669506864747
268,800,1,0.103974431,13,112.1544,9,0,1,1789.2380458030566
269,424,2,0.086360962,13,153.7972,5,2,3,3861.7455991411816
270,557,1,0.011298801,13,213.256,2,1,1,3068.5948086107
271,1282,1,0.055541153,9,115.6518,7,1,1,1742.5504593655096
272,1518,1,0.088720803,8,144.4102,5,2,3,3670.2072874497317
273,1481,1,0.024866609,9,148.3392,1,2,1,1901.5852911041957
274,134,1,0.064129493,7,45.906,6,1,1,604.0467394796756
275,492,1,0.100213917,6,79.0328,6,1,1,1056.1450773269526
276,177,1,0.155621254,13,178.237,9,0,1,2738.6379200309143
277,746,2,0.161832494,6,65.7168,7,1,1,831.2541120360897
278,1154,2,0.170283492,3,115.1834,8,0,1,1713.6940404004176
279,914,2,0.012313256,13,132.8284,3,2,2,2685.799021163776
280,64,1,0.0,4,94.812,5,2,3,3069.426561466452
281,170,1,0.005689466,0,186.6924,3,2,2,3525.953251123671
282,1306,1,0.052140695,9,153.4024,2,1,1,2064.204126123323
283,399,2,0.050579228,3,151.3024,9,0,1,2540.541677903697
284,406,2,0.04904165,5,245.5144,5,2,3,5362.695913811781
285,969,1,0.034806679,4,250.175,9,0,1,4063.673918589733
286,1191,2,0.095395258,1,131.131,4,0,0,1013.186847610008
287,499,1,0.093530571,6,90.4146,9,0,1,1480.6810008279344
288,16,2,0.061124626,14,56.4614,1,2,1,455.9939423547685
289,625,2,0.0,13,54.864,8,0,1,1054.5864034117276
290,447,1,0.121624114,13,42.2428,1,2,1,94.32377118231125
291,143,1,0.081719458,14,118.444,1,2,1,1350.14592071474
292,1444,1,0.01336643,11,105.228,8,0,1,1774.3070000860257
293,695,1,0.015035032,5,84.025,5,2,3,2867.4700319687236
294,962,1,0.059557164,6,149.2366,5,2,3,3803.4824034443764
295,1262,1,0.077443049,9,194.511,1,2,1,2534.6400430718368
296,996,1,0.055470721,0,132.1284,7,1,1,2013.8799332548606
297,1387,1,0.019514867,11,165.121,7,1,1,2569.55570802073
298,836,2,0.08228859,6,144.4102,0,2,0,876.1530281983328
299,110,1,0.036090136,14,41.1138,3,2,2,1191.4563768222451
300,1333,1,0.098645981,9,244.746,0,2,0,2366.402706592161
301,25,1,0.03744271,14,181.1634,2,1,1,2530.038989134607
302,1314,1,0.147933567,9,235.3616,8,0,1,3578.1786004017904
303,433,0,0.084937598,0,105.028,6,1,1,1460.0493090766508
304,630,1,0.020601136,6,91.683,6,1,1,1385.3106929070927
305,628,2,0.158439388,10,156.0946,6,1,1,2186.1336701837304
306,1492,1,0.0,8,165.7842,5,2,3,4152.451551386264
307,1441,1,0.135072801,9,99.17,8,0,1,1477.9156122195714
308,867,1,0.035156307,13,179.1318,1,2,1,2365.95701416103
309,211,1,0.014509564,6,157.4262,5,2,3,4015.6260367997784
310,472,2,0.100315391,0,85.8856,1,2,1,860.3769459482232
311,1511,1,0.058420325,9,221.4456,1,2,1,2983.017689078688
312,1271,1,0.027096298,9,128.6336,3,2,2,2561.6935334955015
313,1058,2,0.037912667,4,125.8704,2,1,1,1703.4219131577988
314,1288,1,0.016110572,9,104.2964,2,1,1,1360.4574150182943
315,644,2,0.076158144,13,82.9908,3,2,2,1805.73390198455
316,188,1,0.104338095,13,236.8932,2,1,1,3284.5560429540146
317,572,1,0.129998012,6,185.1898,8,0,1,2839.76422729076
318,761,2,0.0,5,231.201,7,1,1,3680.8518702012907
319,1071,0,0.024247803,6,123.973,3,2,2,2465.3268493795013
320,902,1,0.005483027,5,100.4016,9,0,1,1780.6776320008212
321,1478,1,0.064371885,8,119.8414,3,2,2,2360.9383854612643
322,1373,1,0.082684949,9,176.6054,1,2,1,2245.737301732921
323,237,2,0.098984923,5,198.2768,7,1,1,3008.044676161883
324,375,2,0.014016743,13,196.8084,6,1,1,3062.055951816529
325,725,2,0.060880827,10,124.4388,5,2,3,3447.6974216645076
326,294,2,0.068511767,6,83.2276,0,2,0,-46.8172564652989
327,1210,1,0.0,13,127.502,7,1,1,2016.259631849337
328,1234,1,0.04017515,5,54.1298,6,1,1,761.8275856946079
329,309,1,0.120441348,4,43.7744,3,2,2,1101.2547009232694
330,1528,1,0.045440803,9,179.5976,4,0,0,1802.9888575155642
331,764,0,0.135906738,13,217.9482,2,1,1,2894.9663613715043
332,1047,1,0.025973288,3,264.3226,2,1,1,3845.725402290628
333,1172,2,0.23372937,0,52.4298,4,0,0,-443.2141004642647
334,1422,1,0.091552173,11,107.1938,2,1,1,1274.6322994073553
335,822,2,0.028883289,3,116.6492,2,1,1,1579.0894681492223
336,901,1,0.03236252,10,62.0194,2,1,1,678.2517673854882
337,743,1,0.139835844,4,104.7306,7,1,1,1443.4608776717096
338,1269,1,0.049810328,8,129.2336,5,2,3,3502.29149543148
339,373,1,0.068466049,6,197.1426,2,1,1,2732.5772851068155
340,666,1,0.073178424,6,189.153,3,2,2,3437.3867365514325
341,126,1,0.113535259,14,36.0848,2,1,1,142.16851150626917
342,658,1,0.026222599,6,169.0474,9,0,1,2816.1994171721562
343,112,2,0.0,14,233.1958,8,0,1,3835.8770353993386
344,1052,2,0.01361686,6,107.2596,9,0,1,1905.4725611075837
345,66,1,0.023770288,14,107.728,5,2,3,3217.9793168563383
346,146,2,0.045720935,4,145.6102,2,1,1,2008.436044898343
347,384,1,0.097145513,15,223.8746,5,2,3,4897.88949690241
348,1129,2,0.099858247,6,146.4786,8,0,1,2315.8660361742955
349,1150,2,0.047339698,13,96.5068,9,0,1,1671.4177999111507
350,1256,0,0.129596025,9,190.5872,7,1,1,2750.2995458374257
351,717,2,0.033024663,2,49.3008,1,2,1,398.50333799063765
352,578,1,0.195963464,5,105.1622,4,0,0,407.31176595789293
353,126,1,0.112875322,14,37.2848,6,1,1,379.1781305826248
354,825,2,0.104930609,5,212.3218,1,2,1,2810.655030690829
355,1274,1,0.097275225,9,192.682,3,2,2,3440.844844771538
356,1297,1,0.010623794,9,235.4958,7,1,1,3683.752577816129
357,1172,2,0.134248297,0,54.9298,2,1,1,440.6450133773874
358,437,1,0.033139916,10,175.4738,9,0,1,2902.2226296589633
359,529,1,0.044786137,13,173.4054,1,2,1,2264.618682207901
360,674,1,0.197679823,13,224.6088,0,2,0,1889.1755641369123
361,1159,2,0.171042873,6,139.9838,6,1,1,1912.838891303485
362,1231,2,0.019764765,3,86.6198,6,1,1,1339.2583153964783
363,1479,0,0.080455726,9,47.3718,7,1,1,600.5394873194482
364,141,2,0.109540783,14,41.9112,3,2,2,1114.7447214548324
365,1538,1,0.026291649,9,121.7098,3,2,2,2452.083993828547
366,262,1,0.173299972,6,113.3518,3,2,2,2093.690069400769
367,221,1,0.021325759,6,104.6306,6,1,1,1590.5231771937424
368,1157,2,0.042441097,5,163.221,1,2,1,2147.3252774096354
369,628,4,0.0,10,158.8946,8,0,1,2747.438499878594
370,1235,2,0.057381292,6,241.2512,2,1,1,3462.4564368058163
371,940,2,0.017277445,10,150.7366,4,0,0,1441.444560516416
372,1271,0,0.047249645,9,126.7336,4,0,0,945.2194499748475
373,584,1,0.046408928,10,153.5682,5,2,3,3892.487891142455
374,609,2,0.067456225,13,257.5304,2,1,1,3697.6059942478832
375,963,1,0.027315417,6,98.7042,8,0,1,1661.262441336899
376,561,1,0.021972988,5,264.091,2,1,1,3852.096255931614
377,775,1,0.059270332,0,229.101,0,2,0,2206.9344109702574
378,898,1,0.027936385,0,151.1708,2,1,1,2086.2852936583276
379,729,1,0.033958586,13,212.0902,7,1,1,3281.830051717073
380,1072,2,0.005973153,13,99.0358,9,0,1,1781.264356868694
381,1173,1,0.033968012,3,181.0976,6,1,1,2752.2700025496724
382,29,1,0.027861814,14,85.5198,2,1,1,1057.015366019114
383,1041,1,0.134564284,6,42.7086,4,0,0,-468.55000608053456
384,289,1,0.099851786,13,111.7544,7,1,1,1614.1252255936442
385,639,1,0.280083047,13,92.712,4,0,0,61.28386980839127
386,1416,1,0.026320247,9,184.9608,0,2,0,1556.2154217354282
387,627,2,0.060665739,2,173.7712,8,0,1,2817.650478919662
388,1401,1,0.052290474,8,122.873,9,0,1,2042.1614636432087
389,976,2,0.140447292,0,93.312,7,1,1,1301.643881834862
390,1242,2,0.079076331,4,183.7608,8,0,1,2932.4262607032065
391,756,2,0.030599358,13,251.4724,1,2,1,3535.9420370708713
392,1389,1,0.051042366,9,126.1678,7,1,1,1912.5702512442258
393,1064,1,0.123745045,13,175.337,4,0,0,1605.486147260266
394,737,1,0.04592756,6,127.902,2,1,1,1688.1419326828895
395,556,2,0.048975573,6,151.0682,8,0,1,2479.661130900095
396,680,2,0.13177444,5,87.7198,9,0,1,1408.267387993245
397,645,2,0.0,13,111.0544,7,1,1,1801.613300886018
398,1238,1,0.068788985,13,110.8228,5,2,3,3177.8365391142206
399,1254,1,0.05630601,9,117.1492,3,2,2,2333.984398344067
400,297,1,0.025864429,15,121.844,8,0,1,2020.5674874506126
401,1358,1,0.02704266,11,49.4666,6,1,1,702.3049037329542
402,490,2,0.124994714,5,100.5358,5,2,3,2976.818376699942
403,949,2,0.189512493,4,97.7752,4,0,0,334.735959215373
404,1475,1,0.038737554,9,164.7842,8,0,1,2661.0302440397395
405,932,1,0.012445941,6,187.8872,6,1,1,2893.2538485017176
406,944,1,0.05740255,13,53.0956,9,0,1,946.3382613233944
407,918,1,0.018609305,3,187.1214,7,1,1,2929.204120104219
408,718,1,0.078327268,3,90.9804,7,1,1,1334.3456639769433
409,1487,1,0.093464804,9,140.8496,0,2,0,755.7152927493185
410,1462,1,0.090702992,9,195.111,9,0,1,3100.2822937794035
